ts,symbol,ltp,spread,imb,qi,cvd,quote_stab
2025-08-29T14:02:12.990719,MIDCPNIFTY,12501.7,0.0,0.0,0.0,8.0,1.0
2025-08-29T14:02:13.991426,NIFTY,24480.35,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:13.741398,BANKNIFTY,53737.2,0.0,0.0,0.0,-3.0,1.0
2025-08-29T14:02:13.991426,MIDCPNIFTY,12502.05,0.0,0.0,0.0,10.0,1.0
2025-08-29T14:02:14.991406,NIFTY,24481.6,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:02:14.991406,BANKNIFTY,53742.75,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:14.991406,MIDCPNIFTY,12501.6,0.0,0.0,0.0,8.0,1.0
2025-08-29T14:02:15.990954,NIFTY,24481.25,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:15.990954,BANKNIFTY,53740.9,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:15.990954,MIDCPNIFTY,12500.9,0.0,0.0,0.0,6.0,1.0
2025-08-29T14:02:16.990616,NIFTY,24481.55,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:02:16.990616,BANKNIFTY,53741.75,0.0,0.0,0.0,1.0,1.0
2025-08-29T14:02:16.740307,MIDCPNIFTY,12501.3,0.0,0.0,0.0,8.0,1.0
2025-08-29T14:02:17.991365,NIFTY,24480.0,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:17.991365,BANKNIFTY,53735.2,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:17.991365,MIDCPNIFTY,12502.15,0.0,0.0,0.0,10.0,1.0
2025-08-29T14:02:18.991170,NIFTY,24480.6,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:18.991170,BANKNIFTY,53735.15,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:18.991170,MIDCPNIFTY,12502.1,0.0,0.0,0.0,10.0,1.0
2025-08-29T14:02:19.996372,NIFTY,24480.75,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:19.996372,BANKNIFTY,53737.8,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:19.996372,MIDCPNIFTY,12502.1,0.0,0.0,0.0,10.0,1.0
2025-08-29T14:02:20.990117,NIFTY,24481.5,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:20.990117,BANKNIFTY,53736.3,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:20.990117,MIDCPNIFTY,12501.75,0.0,0.0,0.0,8.0,1.0
2025-08-29T14:02:21.741909,NIFTY,24481.0,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:21.991272,BANKNIFTY,53736.85,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:21.741909,MIDCPNIFTY,12502.1,0.0,0.0,0.0,10.0,1.0
2025-08-29T14:02:22.990951,NIFTY,24481.45,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:22.741012,BANKNIFTY,53740.05,0.0,0.0,0.0,1.0,1.0
2025-08-29T14:02:22.741012,MIDCPNIFTY,12502.05,0.0,0.0,0.0,10.0,1.0
